# SYNTHETIC DEMO DATA - randomly generated, NOT from the real Kaggle dataset.
# Generated by scripts/generate_synthetic_data.py (fixed seed=42). See that file's
# header for details and calibration notes.
SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,OCCUPATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,BUREAU_COUNT,BUREAU_ACTIVE_COUNT,BUREAU_DEBT_SUM_SUM,HAS_BUREAU_HISTORY,PREV_APP_COUNT,PREV_APP_APPROVAL_RATE,PREV_APP_REFUSED_COUNT,HAS_PREV_APPLICATION,INSTALL_LATE_COUNT
900001,0,Cash loans,M,0,199700.0,1176000.0,45878.8,Secondary / secondary special,Separated,Laborers,-16741,-3413,3,0,88500.0,True,3,0.802,1,True,1
900002,0,Cash loans,F,1,70700.0,286800.0,7218.5,Higher education,Married,,-13860,-2739,3,1,127400.0,True,3,0.52,1,True,0
900003,0,Cash loans,F,0,153800.0,595500.0,55185.7,Higher education,Married,Laborers,-8979,-1081,0,0,0.0,False,3,0.6,2,True,2
900004,1,Cash loans,M,0,95800.0,435000.0,17144.2,Secondary / secondary special,Civil marriage,Security staff,-25026,-237,1,1,334100.0,True,3,0.671,1,True,3
900005,0,Cash loans,F,0,76500.0,190400.0,5939.5,Secondary / secondary special,Civil marriage,Sales staff,-10727,-124,2,0,76700.0,True,4,0.705,2,True,0
900006,0,Cash loans,F,1,76700.0,249200.0,18641.6,Secondary / secondary special,Single / not married,,-12138,-1540,0,0,0.0,False,2,0.631,0,True,1
900007,0,Cash loans,F,0,211100.0,1102800.0,105541.6,Secondary / secondary special,Married,Core staff,-11798,-1529,3,1,97700.0,True,2,0.423,0,True,0
900008,0,Cash loans,M,0,524900.0,1046700.0,36782.6,Secondary / secondary special,Married,Laborers,-23572,-1607,4,0,2156100.0,True,4,0.61,0,True,2
900009,0,Cash loans,M,0,93600.0,333800.0,16573.3,Secondary / secondary special,Married,,-21044,-3846,4,2,560200.0,True,2,0.674,1,True,0
900010,0,Cash loans,M,1,155900.0,455300.0,18618.5,Secondary / secondary special,Married,Cleaning staff,-15677,-2897,7,3,141600.0,True,3,0.783,0,True,2
900011,0,Cash loans,M,1,163500.0,673800.0,23502.7,Incomplete higher,Married,,-24404,-608,6,3,161700.0,True,1,0.924,0,True,0
900012,0,Revolving loans,M,1,107400.0,252600.0,11702.4,Secondary / secondary special,Civil marriage,Laborers,-8589,-2019,0,0,0.0,False,2,0.875,0,True,0
900013,0,Cash loans,F,1,283000.0,1606400.0,97733.4,Secondary / secondary special,Married,Core staff,-23322,-2233,6,4,214700.0,True,0,0.0,0,False,1
